150, 0, 150, 0
152, 0, 152, 0
154, 0, 154, 0
156, 0, 156, 0
158, 0, 158, 0
160, 0, 160, 0
162, 0, 162, 0
164, 0, 164, 0
166, 0, 166, 0
168, 0, 168, 0
170, 0, 170, 0
172, 0, 172, 0
174, 0, 174, 0
176, 0, 176, 0
178, 0, 178, 0
180, 0, 180, 0
182, 0, 182, 0
184, 0, 184, 0
186, 0, 186, 0
188, 0, 188, 0
190, 0, 190, 0
192, 0, 192, 0
194, 0, 194, 0
196, 1, 196, 0
198, 1, 198, 0
200, 1, 200, 0
202, 1, 202, 0
204, 1, 204, 0
206, 1, 206, 0
208, 1, 208, 0
210, 1, 210, 0
212, 1, 212, 0
214, 1, 214, 0
216, 1, 216, 0
218, 1, 218, 0
220, 1, 220, 0
222, 1, 222, 0
224, 1, 224, 0
226, 1, 226, 0
228, 1, 228, 0
230, 1, 230, 0
232, 1, 232, 0
234, 1, 234, 0
236, 1, 236, 1
238, 1, 238, 1
240, 1, 240, 1
242, 1, 242, 1
244, 1, 244, 1
246, 1, 246, 1
248, 1, 248, 1
250, 1, 250, 1
252, 1, 252, 1
254, 1, 254, 1
256, 1, 256, 1
258, 1, 258, 1
260, 2, 260, 1
262, 2, 262, 1
264, 2, 264, 1
266, 2, 266, 1
268, 2, 268, 1
270, 2, 270, 1
272, 2, 272, 1
274, 2, 274, 1
276, 2, 276, 1
278, 2, 278, 1
280, 2, 280, 1
282, 2, 282, 1
284, 2, 284, 1
286, 2, 286, 1
288, 2, 288, 1
290, 2, 290, 1
292, 2, 292, 1
294, 2, 294, 1
296, 2, 296, 1
298, 2, 298, 1
